EpochSecTime,JD0,JD1,PosX,PosY,PosZ,VelX,VelY,VelZ,OrbEl_SMA,OrbEl_Eccentricity,OrbEl_Inclination,OrbEl_RAAN,OrbEl_ArgOfPerigee,OrbEl_MeanAnomaly,OrbEl_TrueAnomaly,Access,Azimuth,Elevation,Latitude(deg),Longitude(deg),sunVecX,sunVecY,sunVecZ
17280,2457415.5,58688,6930.99718,-527.82333,-524.64373,0.80251,4.67556,5.89361,6977.97147,0.00102,0.89887,6.26725,6.14457,0.04221,0.0423,0,242.7,-26,-4.3,-16,0,1,1
17300,2457415.5,58708,6945.41281,-434.19502,-406.65675,0.639,4.6869,5.90462,6978.01594,0.00103,0.89887,6.26725,6.17337,0.03514,0.03521,0,243,-25.3,-3.3,-15.3,0,1,1
17320,2457415.5,58728,6956.55499,-340.36205,-288.47759,0.47518,4.69603,5.91283,6978.04939,0.00103,0.89887,6.26725,6.20214,0.02809,0.02815,0,243.3,-24.6,-2.3,-14.6,0,1,1
17340,2457415.5,58748,6964.41842,-246.36864,-170.16208,0.31113,4.70294,5.91825,6978.07173,0.00103,0.89887,6.26725,6.23088,0.02106,0.02111,0,243.6,-23.9,-1.3,-13.9,0,1,1
17360,2457415.5,58768,6968.99939,-152.25909,-51.76616,0.14694,4.70764,5.92087,6978.08297,0.00104,0.89887,6.26725,6.25961,0.01406,0.01409,0,244,-23.2,-0.3,-13.2,0,1,1
17380,2457415.5,58788,6970.29571,-58.07777,66.65422,-0.01732,4.71012,5.9207,6978.08314,0.00104,0.89887,6.26725,0.00514,0.00707,0.00708,0,244.3,-22.5,0.6,-12.5,0,1,1
17400,2457415.5,58808,6968.30679,36.13094,185.04311,-0.18157,4.71038,5.91772,6978.07233,0.00103,0.89887,6.26725,0.03384,0.00008,0.00008,0,244.7,-21.8,1.6,-11.8,0,1,1
17420,2457415.5,58828,6963.03358,130.32263,303.34455,-0.34573,4.70842,5.91195,6978.05061,0.00103,0.89887,6.26725,0.06256,6.27627,6.27626,0,245.1,-21.1,2.6,-11.1,0,1,1
17440,2457415.5,58848,6954.47858,224.45291,421.50263,-0.50973,4.70424,5.90339,6978.01803,0.00103,0.89887,6.26725,0.0913,6.26925,6.26922,0,245.4,-20.4,3.6,-10.4,0,1,1
17460,2457415.5,58868,6942.64586,318.47742,539.46152,-0.67349,4.69784,5.89204,6977.97461,0.00102,0.89887,6.26725,0.12008,6.26219,6.26215,0,245.8,-19.7,4.6,-9.7,0,1,1
17480,2457415.5,58888,6927.54104,412.35183,657.16548,-0.83693,4.68923,5.8779,6977.9203,0.00101,0.89886,6.26725,0.14891,6.25508,6.25502,0,246.2,-19,5.5,-9,0,1,1
17500,2457415.5,58908,6909.1713,506.0319,774.55888,-0.99997,4.67841,5.86098,6977.85508,0.00101,0.89886,6.26725,0.17781,6.24791,6.24784,0,246.7,-18.2,6.5,-8.3,0,1,1
17520,2457415.5,58928,6887.54537,599.47349,891.58625,-1.16254,4.66538,5.8413,6977.77897,0.001,0.89886,6.26725,0.20676,6.24067,6.24059,0,247.1,-17.5,7.5,-7.6,0,1,1
17540,2457415.5,58948,6862.6735,692.63257,1008.1923,-1.32455,4.65016,5.81885,6977.69207,0.00098,0.89885,6.26724,0.23578,6.23338,6.23328,0,247.6,-16.8,8.5,-6.9,0,1,1
17560,2457415.5,58968,6834.56753,785.46523,1124.32193,-1.48594,4.63274,5.79366,6977.59459,0.00097,0.89885,6.26724,0.26487,6.22601,6.2259,0,248,-16,9.4,-6.2,0,1,1
17580,2457415.5,58988,6803.2408,877.92773,1239.92028,-1.64661,4.61314,5.76572,6977.48681,0.00096,0.89884,6.26724,0.29402,6.21857,6.21845,0,248.5,-15.3,10.4,-5.5,0,1,1
17600,2457415.5,59008,6768.70818,969.97653,1354.93275,-1.80651,4.59137,5.73507,6977.36902,0.00094,0.89883,6.26724,0.32326,6.21105,6.21092,0,249,-14.5,11.4,-4.8,0,1,1
17620,2457415.5,59028,6730.98607,1061.56825,1469.30502,-1.96555,4.56744,5.70171,6977.24152,0.00093,0.89883,6.26724,0.35259,6.20344,6.20329,0,249.5,-13.7,12.3,-4.1,0,1,1
17640,2457415.5,59048,6690.09237,1152.65976,1582.98307,-2.12366,4.54135,5.66565,6977.1046,0.00091,0.89882,6.26723,0.38203,6.19572,6.19556,0,250.1,-13,13.3,-3.3,0,1,1
17660,2457415.5,59068,6646.04651,1243.20817,1695.91323,-2.28076,4.51313,5.62692,6976.95858,0.00089,0.89881,6.26723,0.4116,6.18787,6.1877,0,250.7,-12.2,14.3,-2.6,0,1,1
